Gene	Safety_Score (0-28)	Safety_Profile_Assessment	Tissue_with_Safety_Concern
FYN	0	not good	many tissues
CLCN6	0	not good	many tissues
MRC2	2	not good	many tissues
SLC6A7	27	very good	Brain
TSPAN9	1	not good	many tissues
ANOS1	25	very good	Lung:Muscle:Thyroid
PIK3C2A	1	not good	many tissues
PLAUR	4	not good	many tissues
TYROBP	0	not good	many tissues
GABRA3	28	very good	many tissues
CD22	19	not good	many tissues
EHD3	17	not good	many tissues
SLC7A14	26	very good	Brain:Pituitary
CLDN11	11	not good	many tissues
GPRC5A	14	not good	many tissues
CD6	24	good	Blood:Lung:Small_Intestine:Spleen
ACPP	23	good	Blood:Kidney:Prostate:Salivary_Gland:Skin:Vagina
DPEP1	25	very good	Kidney:Pancreas:Small_Intestine
NPC1L1	27	very good	Liver
IL20RA	18	not good	many tissues
CLCA1	26	very good	Colon:Small_Intestine
CLCA4	26	very good	Bladder:Vagina
SLC38A5	10	not good	many tissues
CNTN1	20	not good	many tissues
SLC11A1	3	not good	many tissues
ATP1A2	10	not good	many tissues
VSIG2	21	good	Bladder:Breast:Lung:Prostate:Salivary_Gland:Stomach:Thyroid:Vagina
MARCO	19	not good	many tissues
CD74	0	not good	many tissues
ADGRA2	6	not good	many tissues
SLC7A9	25	very good	Kidney:Liver:Small_Intestine
NRXN3	23	good	Brain:Colon:Esophagus:Nerve:Pituitary
GABRA1	27	very good	Brain
SLC45A4	9	not good	many tissues
GRAMD1B	21	good	Adrenal_Gland:Brain:Nerve:Ovary:Pituitary:Small_Intestine:Stomach
AKAP11	3	not good	many tissues
ABCC2	26	very good	Kidney:Liver
EHD2	1	not good	many tissues
FAS	4	not good	many tissues
CD44	0	not good	many tissues
KCNG1	24	good	Cervix_Uteri:Fallopian_Tube:Prostate:Uterus:Vagina
SLAMF7	24	good	Blood:Salivary_Gland:Small_Intestine:Spleen
BTN3A1	1	not good	many tissues
PRKCH	1	not good	many tissues
INSRR	28	very good	many tissues
IFNGR1	0	not good	many tissues
TNFRSF1B	2	not good	many tissues
SLC39A9	0	not good	many tissues
MUSK	28	very good	many tissues
CHPF2	0	not good	many tissues
GAB2	2	not good	many tissues
ATP6V0A1	0	not good	many tissues
SLC4A7	8	not good	many tissues
SLC18A1	28	very good	many tissues
CASR	26	very good	Kidney:Pancreas
FLT4	8	not good	many tissues
MFAP3	4	not good	many tissues
MSR1	20	not good	many tissues
CDH1	13	not good	many tissues
BEST2	26	very good	Skin:Small_Intestine
CTNS	0	not good	many tissues
RTN4R	24	good	Brain:Liver:Skin:Spleen
CDH10	27	very good	Brain
AP2S1	0	not good	many tissues
USH2A	28	very good	many tissues
ADAM28	17	not good	many tissues
ADRB1	26	very good	Heart:Lung
CTNNA1	0	not good	many tissues
EPHA3	25	very good	Bladder:Prostate:Thyroid:Vagina
DSG2	15	not good	many tissues
GPM6B	12	not good	many tissues
XK	27	very good	Colon
ANO2	24	good	Adipose_Tissue:Breast:Heart:Lung
MAP4	0	not good	many tissues
ROS1	27	very good	Lung
TSPAN17	0	not good	many tissues
TNFRSF17	26	very good	Salivary_Gland:Spleen
KITLG	12	not good	many tissues
TNFRSF9	28	very good	many tissues
CLPTM1L	0	not good	many tissues
LIMA1	1	not good	many tissues
SLC4A8	26	very good	Brain:Pituitary
PTGER3	19	not good	many tissues
COL23A1	24	good	Heart:Nerve:Prostate:Skin:Thyroid
HOMER3	1	not good	many tissues
CYBA	0	not good	many tissues
PRSS8	14	not good	many tissues
TTC17	0	not good	many tissues
KCNQ1	16	not good	many tissues
ENTPD2	18	not good	many tissues
LY75	24	good	Blood:Small_Intestine:Spleen:Thyroid
OPN3	16	not good	many tissues
PTPRN	25	very good	Brain:Pancreas:Pituitary
SYNE2	0	not good	many tissues
RELT	20	not good	many tissues
KCNH2	17	not good	many tissues
GINM1	0	not good	many tissues
MCOLN3	16	not good	many tissues
NPFFR2	28	very good	many tissues
IL17RB	18	not good	many tissues
DCBLD2	4	not good	many tissues
PKP2	16	not good	many tissues
CAMK2B	21	good	Brain:Heart:Liver:Muscle:Nerve:Pituitary:Thyroid
ATP2B4	0	not good	many tissues
DGKG	22	good	Adrenal_Gland:Brain:Esophagus:Heart:Lung:Pituitary
SLC2A3	0	not good	many tissues
PSD	15	not good	many tissues
STYK1	27	very good	Salivary_Gland
PTPRU	4	not good	many tissues
LZTS1	25	very good	Brain:Lung:Nerve
NCKAP1	1	not good	many tissues
TNK2	0	not good	many tissues
CDH3	17	not good	many tissues
LTK	25	very good	Lung:Small_Intestine:Spleen
SEZ6	26	very good	Brain:Pituitary
SLC6A16	21	good	Blood_Vessel:Cervix_Uteri:Fallopian_Tube:Liver:Ovary:Pancreas:Prostate:Uterus
GPC1	1	not good	many tissues
TM7SF3	0	not good	many tissues
TSPAN32	24	good	Blood:Heart:Lung:Spleen
ATP2C2	21	good	Blood:Lung:Prostate:Salivary_Gland:Skin:Small_Intestine:Thyroid:Vagina
NGFR	6	not good	many tissues
CDON	19	not good	many tissues
TMEM161A	0	not good	many tissues
LPAR2	5	not good	many tissues
SLC12A2	10	not good	many tissues
ABCA7	5	not good	many tissues
CALCRL	12	not good	many tissues
SLC9A3R2	0	not good	many tissues
GNAI3	26	very good	Blood:Skin
PKN2	0	not good	many tissues
GLP2R	25	very good	Bladder:Colon:Small_Intestine
ERBB3	10	not good	many tissues
MYLK	2	not good	many tissues
TMEM206	25	very good	Brain:Kidney:Spleen
COL17A1	22	good	Bladder:Breast:Prostate:Salivary_Gland:Skin:Small_Intestine:Vagina
SLC9A7	25	very good	Brain:Muscle:Pituitary
PDE4A	3	not good	many tissues
TIE1	2	not good	many tissues
SLC9A3	24	good	Kidney:Nerve:Small_Intestine:Stomach
CD84	25	very good	Blood:Lung:Spleen
CLDN18	26	very good	Lung:Stomach
FGFR2	6	not good	many tissues
PPAP2A	1	not good	many tissues
NEO1	1	not good	many tissues
TNFRSF1A	0	not good	many tissues
RHOA	0	not good	many tissues
ATP2B3	26	very good	Adrenal_Gland:Brain
HYAL2	0	not good	many tissues
FGFR3	16	not good	many tissues
ATP11A	0	not good	many tissues
ADGRF5	3	not good	many tissues
SDK2	28	very good	many tissues
ADAM7	28	very good	many tissues
ABCC9	14	not good	many tissues
CLEC2D	7	not good	many tissues
DRD4	28	very good	many tissues
TGFBR3	2	not good	many tissues
ATP1B3	0	not good	many tissues
NEDD4	17	not good	many tissues
PIGB	2	not good	many tissues
LRP6	5	not good	many tissues
GUCY2C	27	very good	Small_Intestine
FGF10	21	good	Adipose_Tissue:Bladder:Breast:Cervix_Uteri:Fallopian_Tube:Ovary:Vagina
SLC44A1	3	not good	many tissues
DGCR2	0	not good	many tissues
CAMK2A	25	very good	Brain:Heart:Muscle
CDC42	0	not good	many tissues
EPHA8	28	very good	many tissues
SLC12A3	27	very good	Kidney
ATP2B1	0	not good	many tissues
TRPM5	28	very good	many tissues
CDH19	23	good	Cervix_Uteri:Colon:Esophagus:Heart:Nerve
SLC6A15	26	very good	Brain:Pituitary
ADGRL1	2	not good	many tissues
ACTN1	0	not good	many tissues
ASIC4	26	very good	Brain:Pituitary
TFRC	0	not good	many tissues
MPP5	2	not good	many tissues
MARK2	0	not good	many tissues
HMMR	28	very good	many tissues
TRHDE	27	very good	Pancreas
FCGR2B	14	not good	many tissues
PVR	1	not good	many tissues
SCARB1	0	not good	many tissues
PANX2	23	good	Blood:Brain:Liver:Pituitary:Thyroid
ADAM11	26	very good	Brain:Heart
ABCB11	27	very good	Liver
PICALM	0	not good	many tissues
NOTCH3	2	not good	many tissues
CDHR2	25	very good	Kidney:Liver:Small_Intestine
TSG101	0	not good	many tissues
CA12	14	not good	many tissues
SCARF1	3	not good	many tissues
ENO1	0	not good	many tissues
SLC12A1	27	very good	Kidney
KCNQ2	26	very good	Brain:Pituitary
TACR2	20	not good	many tissues
CELSR1	17	not good	many tissues
ADD2	27	very good	Brain
MARK3	0	not good	many tissues
CACNG5	28	very good	many tissues
CACNG4	27	very good	Brain
TMEM131	0	not good	many tissues
PLD1	6	not good	many tissues
ATP12A	28	very good	many tissues
DLG1	0	not good	many tissues
SLC46A1	4	not good	many tissues
PLXNA2	4	not good	many tissues
ANKRD13A	0	not good	many tissues
PAG1	23	good	Bladder:Blood:Lung:Small_Intestine:Spleen
ICAM3	4	not good	many tissues
MCAM	1	not good	many tissues
GPC4	8	not good	many tissues
TM9SF3	0	not good	many tissues
IL4R	0	not good	many tissues
APBB1IP	17	not good	many tissues
GPR137B	3	not good	many tissues
NAALAD2	21	good	Adrenal_Gland:Brain:Cervix_Uteri:Nerve:Ovary:Pituitary:Uterus
FGFR1	0	not good	many tissues
ITGA8	17	not good	many tissues
AMPH	23	good	Adipose_Tissue:Brain:Cervix_Uteri:Pituitary:Uterus
LAMP3	27	very good	Lung
FAP	19	not good	many tissues
TULP3	1	not good	many tissues
ADCY2	18	not good	many tissues
GNB1	0	not good	many tissues
ADCYAP1R1	26	very good	Brain:Fallopian_Tube
P2RY10	26	very good	Blood:Spleen
TOLLIP	0	not good	many tissues
CDH17	27	very good	Small_Intestine
OSBPL6	24	good	Brain:Muscle:Pituitary:Skin
SLC1A3	10	not good	many tissues
CEACAM1	12	not good	many tissues
DNM2	0	not good	many tissues
EPB41L2	1	not good	many tissues
PTPRH	22	good	Adrenal_Gland:Liver:Pituitary:Small_Intestine:Spleen:Stomach
DCT	27	very good	Skin
EPHA6	28	very good	many tissues
SCTR	25	very good	Kidney:Lung:Pancreas
SLC4A4	23	good	Brain:Kidney:Liver:Pancreas:Prostate:Thyroid
CHRNA3	27	very good	Colon
KCNN2	24	good	Adrenal_Gland:Brain:Liver:Pituitary
PSEN1	0	not good	many tissues
CLDND1	0	not good	many tissues
HSP90AA1	0	not good	many tissues
IGSF9B	17	not good	many tissues
MAGI3	17	not good	many tissues
OSTM1	0	not good	many tissues
CDH7	28	very good	many tissues
PTPRC	13	not good	many tissues
CACNA1S	27	very good	Muscle
LRP2	26	very good	Kidney:Thyroid
PCDHB4	28	very good	many tissues
PCDHA6	28	very good	many tissues
PCDHGA2	28	very good	many tissues
ATP8B1	10	not good	many tissues
IL12RB2	28	very good	many tissues
EPB41L3	1	not good	many tissues
KCNK2	26	very good	Adrenal_Gland:Nerve
OPRK1	28	very good	many tissues
SEMA5B	25	very good	Brain:Heart:Nerve
ITGB5	0	not good	many tissues
ERC1	5	not good	many tissues
RNF13	0	not good	many tissues
TRPM3	27	very good	Kidney
ITGAE	0	not good	many tissues
FAT1	4	not good	many tissues
SSH1	3	not good	many tissues
APLP2	0	not good	many tissues
KIAA1467	25	very good	Brain:Pituitary:Skin
SLCO1A2	27	very good	Brain
NKAIN1	25	very good	Adrenal_Gland:Brain:Muscle
CD59	0	not good	many tissues
CD82	0	not good	many tissues
SCAMP1	2	not good	many tissues
PILRA	3	not good	many tissues
IGSF9	22	good	Liver:Prostate:Salivary_Gland:Skin:Small_Intestine:Stomach:Vagina
ABCB1	15	not good	many tissues
MGST2	0	not good	many tissues
B4GALT1	1	not good	many tissues
FOLH1	24	good	Brain:Liver:Nerve:Prostate:Salivary_Gland
CEACAM6	23	good	Blood:Lung:Salivary_Gland:Small_Intestine:Vagina
FAT2	26	very good	Skin:Vagina
HSD17B2	22	good	Bladder:Liver:Pancreas:Salivary_Gland:Small_Intestine:Stomach
NOX4	23	good	Adipose_Tissue:Blood_Vessel:Kidney:Nerve:Uterus
TRIP6	0	not good	many tissues
ACHE	21	good	Brain:Colon:Muscle:Ovary:Pituitary:Prostate:Salivary_Gland:Small_Intestine
TMPRSS11E	25	very good	Bladder:Salivary_Gland:Vagina
ADD1	0	not good	many tissues
GNAS	0	not good	many tissues
GP6	28	very good	many tissues
PTPN4	6	not good	many tissues
EPB41L1	3	not good	many tissues
SLC15A1	24	good	Liver:Pancreas:Skin:Small_Intestine
ATRN	1	not good	many tissues
SIGLEC1	19	not good	many tissues
SLC4A11	22	good	Adrenal_Gland:Kidney:Prostate:Salivary_Gland:Skin:Thyroid:Vagina
SIRPG	26	very good	Blood:Spleen
P2RX7	22	good	Brain:Cervix_Uteri:Lung:Nerve:Ovary:Skin
SLC23A2	1	not good	many tissues
SLC8B1	0	not good	many tissues
NOS1	27	very good	Muscle
FXYD5	0	not good	many tissues
GRAMD1A	0	not good	many tissues
HEPH	10	not good	many tissues
LAG3	24	good	Ovary:Small_Intestine:Spleen:Uterus
SLC9A1	1	not good	many tissues
RGS1	1	not good	many tissues
ICAM1	1	not good	many tissues
SI	27	very good	Small_Intestine
FLT3LG	2	not good	many tissues
CD209	26	very good	Adipose_Tissue:Small_Intestine
MCOLN1	0	not good	many tissues
EFNB1	2	not good	many tissues
GLG1	0	not good	many tissues
DLL3	27	very good	Brain
EXOC1	0	not good	many tissues
NRCAM	21	good	Adrenal_Gland:Brain:Kidney:Nerve:Pancreas:Pituitary:Spleen
SLC26A4	27	very good	Thyroid
SLC26A3	26	very good	Colon:Small_Intestine
IL5RA	28	very good	many tissues
ABCC6	21	good	Kidney:Liver:Lung:Pancreas:Small_Intestine:Stomach:Thyroid
ITGA6	2	not good	many tissues
SEL1L3	9	not good	many tissues
PITPNM3	21	good	Brain:Colon:Esophagus:Ovary:Skin:Spleen:Vagina
SLC17A6	28	very good	many tissues
CD200	8	not good	many tissues
JPH4	22	good	Brain:Fallopian_Tube:Ovary:Pituitary:Prostate:Uterus:Vagina
SLC7A8	2	not good	many tissues
SLC22A17	3	not good	many tissues
SEMA6A	5	not good	many tissues
TYRO3	10	not good	many tissues
SNAP23	0	not good	many tissues
EZR	0	not good	many tissues
MFSD11	0	not good	many tissues
VNN3	24	good	Blood:Fallopian_Tube:Liver:Spleen
OR1I1	28	very good	many tissues
GABRP	24	good	Breast:Salivary_Gland:Skin:Vagina
SUCO	3	not good	many tissues
SEMA4G	10	not good	many tissues
BLNK	17	not good	many tissues
SORBS1	2	not good	many tissues
BAMBI	13	not good	many tissues
TREM2	25	very good	Adrenal_Gland:Lung:Nerve
NCR2	28	very good	many tissues
HSP90AB1	0	not good	many tissues
ITPR3	4	not good	many tissues
DSP	13	not good	many tissues
IL12RB1	26	very good	Blood:Spleen
TMED1	0	not good	many tissues
ERMP1	5	not good	many tissues
NRP1	2	not good	many tissues
TSPAN15	3	not good	many tissues
KCNK6	11	not good	many tissues
EFNA2	26	very good	Liver:Small_Intestine
C19orf26	25	very good	Brain:Pituitary:Skin
PCDH11Y	28	very good	many tissues
HCN2	25	very good	Brain:Heart:Pituitary
CDHR5	25	very good	Kidney:Liver:Small_Intestine
PALM	2	not good	many tissues
MADCAM1	27	very good	Small_Intestine
SNAP29	0	not good	many tissues
P2RX6	23	good	Adrenal_Gland:Brain:Muscle:Pituitary:Spleen
SLC7A4	28	very good	many tissues
SUSD2	12	not good	many tissues
GGT5	1	not good	many tissues
GGT1	9	not good	many tissues
MFNG	5	not good	many tissues
PLA2G3	27	very good	Skin
PIK3IP1	1	not good	many tissues
PICK1	0	not good	many tissues
SLC16A8	28	very good	many tissues
SLC5A1	23	good	Heart:Salivary_Gland:Skin:Small_Intestine:Vagina
SLC5A4	28	very good	many tissues
LMF2	0	not good	many tissues
PACSIN2	0	not good	many tissues
RASD2	23	good	Brain:Colon:Esophagus:Fallopian_Tube:Muscle:Prostate
MYH9	0	not good	many tissues
CACNA1I	27	very good	Brain
CSF2RB	23	good	Adipose_Tissue:Blood:Lung:Small_Intestine:Spleen
UPK3A	26	very good	Bladder:Muscle:Prostate
IL2RB	26	very good	Blood:Spleen
MLC1	25	very good	Blood:Brain:Vagina
KCNK10	28	very good	many tissues
CTSG	20	not good	many tissues
PLEK2	16	not good	many tissues
SUSD6	0	not good	many tissues
SLC10A1	27	very good	Liver
SLC8A3	27	very good	Muscle
BDKRB1	26	very good	Cervix_Uteri:Vagina
TM9SF1	0	not good	many tissues
PROCR	4	not good	many tissues
CD40	0	not good	many tissues
HRH3	27	very good	Brain
SLCO4A1	3	not good	many tissues
NTSR1	27	very good	Colon
SLC17A9	7	not good	many tissues
CHRNA4	26	very good	Brain:Liver
PTK6	22	good	Bladder:Salivary_Gland:Skin:Small_Intestine:Stomach:Vagina
SLC52A3	26	very good	Kidney:Prostate:Small_Intestine
PROKR2	28	very good	many tissues
HM13	0	not good	many tissues
SIRPB1	25	very good	Blood:Lung:Spleen
HCK	19	not good	many tissues
TM9SF4	0	not good	many tissues
JAG1	2	not good	many tissues
SLC32A1	26	very good	Brain:Pituitary
PPP1R16B	20	not good	many tissues
CDH20	27	very good	Brain
VAPA	0	not good	many tissues
MIB1	8	not good	many tissues
VSIG1	27	very good	Stomach
GPR143	28	very good	many tissues
GUCY2F	28	very good	many tissues
ATP1B4	27	very good	Muscle
WDR13	0	not good	many tissues
GLRA2	28	very good	many tissues
ATP11C	6	not good	many tissues
CACNA1F	28	very good	many tissues
PLP2	0	not good	many tissues
BMX	26	very good	Adipose_Tissue:Blood
KCND1	27	very good	Fallopian_Tube
OPN1LW	28	very good	many tissues
MAGT1	0	not good	many tissues
PHEX	28	very good	many tissues
CD99L2	0	not good	many tissues
GPR50	27	very good	Pituitary
RP2	24	good	Adipose_Tissue:Adrenal_Gland:Blood:Lung
CDK16	0	not good	many tissues
BRS3	28	very good	many tissues
CD40LG	27	very good	Blood
GABRE	3	not good	many tissues
PCDH11X	28	very good	many tissues
HTR2A	28	very good	many tissues
TNFSF13B	24	good	Adrenal_Gland:Blood:Lung:Spleen
MLNR	28	very good	many tissues
SGCG	26	very good	Heart:Muscle
FLT1	3	not good	many tissues
OLFM4	22	good	Blood:Kidney:Pancreas:Prostate:Salivary_Gland:Small_Intestine:Vagina
MSLN	25	very good	Fallopian_Tube:Lung:Salivary_Gland
CBLN1	28	very good	many tissues
PARD6A	16	not good	many tissues
MMP15	11	not good	many tissues
SLC38A7	2	not good	many tissues
SLC7A6	1	not good	many tissues
NAGPA	0	not good	many tissues
ABCC1	2	not good	many tissues
NOMO3	0	not good	many tissues
SLC7A5	7	not good	many tissues
ZP2	28	very good	many tissues
PIEZO1	0	not good	many tissues
AQP8	27	very good	Pancreas
STX4	0	not good	many tissues
CDIPT	0	not good	many tissues
NOMO1	0	not good	many tissues
IL21R	27	very good	Blood
SLC6A2	28	very good	many tissues
AQP9	23	good	Blood:Liver:Lung:Skin:Spleen
IGDCC4	22	good	Adrenal_Gland:Cervix_Uteri:Muscle:Ovary:Thyroid:Vagina
RAB11A	0	not good	many tissues
CD276	1	not good	many tissues
ATP8B4	22	good	Adipose_Tissue:Blood:Fallopian_Tube:Nerve:Spleen:Uterus
TJP1	1	not good	many tissues
SPG11	0	not good	many tissues
FZD3	27	very good	Ovary
TRPA1	26	very good	Bladder:Small_Intestine
IMPAD1	0	not good	many tissues
NIPAL2	3	not good	many tissues
JPH1	25	very good	Brain:Heart:Muscle
GML	28	very good	many tissues
ANXA13	27	very good	Small_Intestine
SLC39A14	1	not good	many tissues
TNFRSF10A	23	good	Adipose_Tissue:Breast:Lung:Salivary_Gland:Vagina
TUSC3	2	not good	many tissues
ADAM2	28	very good	many tissues
KCNN4	16	not good	many tissues
KCNA7	27	very good	Muscle
CLPTM1	0	not good	many tissues
FCGRT	0	not good	many tissues
SLC17A7	27	very good	Brain
CD37	3	not good	many tissues
FCER2	26	very good	Blood:Spleen
CLEC4M	27	very good	Liver
LILRB1	24	good	Blood:Lung:Small_Intestine:Spleen
LILRA1	26	very good	Blood:Spleen
IL27RA	23	good	Adipose_Tissue:Blood:Breast:Lung:Spleen
SLC1A6	26	very good	Brain:Skin
PLD3	0	not good	many tissues
PRX	21	good	Bladder:Cervix_Uteri:Kidney:Lung:Nerve:Thyroid:Uterus
SLC1A5	2	not good	many tissues
TJP3	14	not good	many tissues
APLP1	18	not good	many tissues
CEACAM4	26	very good	Blood:Spleen
SIGLEC8	27	very good	Spleen
CD79A	24	good	Blood:Salivary_Gland:Small_Intestine:Spleen
ICAM4	27	very good	Blood
NKG7	21	good	Adipose_Tissue:Blood:Breast:Liver:Lung:Small_Intestine:Spleen
ICAM5	26	very good	Brain:Lung
CD33	20	not good	many tissues
CEACAM5	24	good	Colon:Salivary_Gland:Small_Intestine:Vagina
ATP1A3	25	very good	Brain:Heart:Pituitary
PTPRS	1	not good	many tissues
MEGF8	1	not good	many tissues
CYTH2	0	not good	many tissues
GRIN2D	28	very good	many tissues
SIGLEC6	28	very good	many tissues
SIGLEC5	26	very good	Blood:Spleen
HAS1	27	very good	Ovary
CACNG7	26	very good	Brain:Pituitary
LILRB5	15	not good	many tissues
SLC5A5	27	very good	Stomach
UPK1A	25	very good	Bladder:Skin:Vagina
ATP4A	25	very good	Adrenal_Gland:Pancreas:Stomach
MAG	24	good	Brain:Fallopian_Tube:Nerve:Ovary
LSR	1	not good	many tissues
HPN	19	not good	many tissues
SCN1B	0	not good	many tissues
ATP13A1	0	not good	many tissues
GRIK5	18	not good	many tissues
CADM4	7	not good	many tissues
PIK3CG	27	very good	Blood
PON2	1	not good	many tissues
ITGB8	19	not good	many tissues
ATP6V0A4	25	very good	Kidney:Salivary_Gland:Skin
ADAP1	9	not good	many tissues
CAV2	1	not good	many tissues
CAV1	2	not good	many tissues
MET	17	not good	many tissues
LMBR1	0	not good	many tissues
VIPR2	18	not good	many tissues
TSPAN12	9	not good	many tissues
STX1A	5	not good	many tissues
CRHR2	28	very good	many tissues
EPHB6	4	not good	many tissues
GHRHR	27	very good	Pituitary
PTPRZ1	20	not good	many tissues
SPAM1	28	very good	many tissues
TFR2	24	good	Blood:Brain:Liver:Stomach
CLDN15	2	not good	many tissues
TSPAN13	3	not good	many tissues
SLC1A1	21	good	Brain:Kidney:Liver:Lung:Pituitary:Small_Intestine:Thyroid
CNTNAP3	25	very good	Blood:Esophagus:Skin
TMEM245	1	not good	many tissues
MEGF9	7	not good	many tissues
TGFBR1	1	not good	many tissues
SUSD1	17	not good	many tissues
TNFSF8	26	very good	Blood:Spleen
ENG	0	not good	many tissues
KANK1	1	not good	many tissues
NCS1	7	not good	many tissues
KCNT1	23	good	Brain:Muscle:Ovary:Pituitary:Spleen
CA9	26	very good	Skin:Stomach
NPDC1	0	not good	many tissues
ABCA2	0	not good	many tissues
RAB11FIP2	8	not good	many tissues
PKD2L1	27	very good	Spleen
CUBN	27	very good	Kidney
UNC5B	18	not good	many tissues
CDH23	16	not good	many tissues
C10orf54	0	not good	many tissues
BMPR1A	11	not good	many tissues
NEURL1	20	not good	many tissues
SORCS1	26	very good	Colon:Nerve
CCNY	0	not good	many tissues
TSPAN14	0	not good	many tissues
RNF43	21	good	Adrenal_Gland:Liver:Pancreas:Prostate:Salivary_Gland:Skin:Small_Intestine:Vagina
P2RX1	16	not good	many tissues
RASD1	1	not good	many tissues
CHRNE	27	very good	Pituitary
C1QBP	0	not good	many tissues
SLC6A4	26	very good	Lung:Small_Intestine
CPD	0	not good	many tissues
ICAM2	0	not good	many tissues
CYTH1	0	not good	many tissues
RAB5C	0	not good	many tissues
CNTNAP1	6	not good	many tissues
PPP1R9B	0	not good	many tissues
SGCA	12	not good	many tissues
ABCC3	7	not good	many tissues
CACNG1	27	very good	Muscle
SLC16A6	27	very good	Blood
EFNB3	25	very good	Brain:Pituitary:Uterus
MMD	9	not good	many tissues
SLC9A3R1	1	not good	many tissues
TMEM104	11	not good	many tissues
TMEM97	11	not good	many tissues
PMP22	1	not good	many tissues
GABRA4	28	very good	many tissues
GNRHR	28	very good	many tissues
CHIC2	0	not good	many tissues
AREG	13	not good	many tissues
UBE2D3	0	not good	many tissues
SLC2A9	20	not good	many tissues
GLRB	22	good	Blood_Vessel:Brain:Heart:Pancreas:Pituitary:Salivary_Gland
BST1	12	not good	many tissues
TECTA	28	very good	many tissues
SC5D	1	not good	many tissues
CRTAM	28	very good	many tissues
HSPA8	0	not good	many tissues
P2RX3	28	very good	many tissues
EHD1	0	not good	many tissues
UNC93B1	1	not good	many tissues
NRXN2	19	not good	many tissues
MS4A6A	1	not good	many tissues
CCKBR	25	very good	Brain:Pancreas:Stomach
FOLR1	21	good	Fallopian_Tube:Kidney:Lung:Pituitary:Salivary_Gland:Stomach:Thyroid
PANX1	7	not good	many tissues
IL10RA	10	not good	many tissues
UPK2	27	very good	Bladder
PVRL1	18	not good	many tissues
KIAA1549L	27	very good	Brain
SLC1A2	25	very good	Brain:Liver:Pancreas
SLC15A3	0	not good	many tissues
CD5	26	very good	Blood:Spleen
SLC22A18	2	not good	many tissues
CD81	0	not good	many tissues
TCIRG1	0	not good	many tissues
CD69	15	not good	many tissues
CLEC2B	4	not good	many tissues
SELPLG	19	not good	many tissues
ASIC1	26	very good	Brain:Colon
TSPAN11	26	very good	Colon:Nerve
SLC11A2	0	not good	many tissues
SLC6A12	24	good	Brain:Kidney:Liver:Thyroid
TRPV4	24	good	Kidney:Liver:Prostate:Salivary_Gland:Skin
PRMT8	27	very good	Brain
MANSC1	1	not good	many tissues
KCNA1	27	very good	Brain
GPRC5D	28	very good	many tissues
SCNN1A	11	not good	many tissues
LTBR	0	not good	many tissues
ART4	25	very good	Blood_Vessel:Liver:Spleen
SLC38A1	3	not good	many tissues
FZD10	26	very good	Skin:Vagina
STX2	1	not good	many tissues
ADGRD1	6	not good	many tissues
